,symbol,D_OPEN,D_HIGH,D_LOW,price,D_MAX,D_MIN,D_C_MAX,D_C_MIN,PCT,D_CHANGE
180,STMXUSDT,0.00391,0.0135,0.00386,0.00632,245.269,-1.279,-53.185,63.731,25.52,61.637
49,XVGUSDT,0.00843,0.009941,0.004672,0.004914,17.924,-44.579,-50.568,5.18,4.59,-41.708
28,STORJUSDT,0.3058,0.5549,0.2746,0.2863,81.458,-10.203,-48.405,4.261,4.17,-6.377
159,MAVUSDT,0.4089,0.5645,0.2835,0.2931,38.053,-30.668,-48.078,3.386,3.42,-28.32
91,1INCHUSDT,0.3171,0.5589,0.2769,0.3014,76.254,-12.677,-46.073,8.848,8.69,-4.951
53,MDTUSDT,0.05114,0.0805,0.04312,0.04349,57.411,-15.682,-45.975,0.858,0.99,-14.959
34,LQTYUSDT,0.9231,1.9282,0.8634,1.0453,108.883,-6.467,-45.789,21.068,17.08,13.238
160,OGNUSDT,0.0807,0.146,0.0743,0.0959,80.917,-7.931,-34.315,29.071,30.13,18.835
47,HOOKUSDT,1.143,1.435,0.918,0.962,25.547,-19.685,-32.962,4.793,8.51,-15.836
122,COMBOUSDT,0.8477,0.9178,0.5998,0.6291,8.269,-29.244,-31.456,4.885,9.21,-25.787
21,SOLUSDT,18.858,33.579,17.9,23.373,78.062,-5.08,-30.394,30.575,34.91,23.942
67,CELOUSDT,0.454,0.668,0.444,0.467,47.137,-2.203,-30.09,5.18,10.27,2.863
147,EDUUSDT,0.6261,0.795,0.539,0.5675,26.977,-13.912,-28.616,5.288,11.13,-9.36
65,XRPUSDT,0.473,0.965,0.4563,0.6901,104.017,-3.531,-28.487,51.238,45.96,45.899
113,GMTUSDT,0.2206,0.295,0.2031,0.211,33.726,-7.933,-28.475,3.89,8.6,-4.352
130,XLMUSDT,0.11061,0.20152,0.09482,0.14631,82.19,-14.275,-27.397,54.303,48.26,32.276
99,FLOWUSDT,0.543,0.787,0.532,0.582,44.936,-2.026,-26.048,9.398,19.61,7.182
26,BAKEUSDT,0.1084,0.1219,0.0876,0.0908,12.454,-19.188,-25.513,3.653,9.33,-16.236
171,FTMUSDT,0.3042,0.3247,0.236,0.2423,6.739,-22.419,-25.377,2.669,7.1,-20.348
141,QTUMUSDT,2.671,3.477,2.528,2.599,30.176,-5.354,-25.252,2.809,7.48,-2.696
56,PHBUSDT,0.7131,0.8,0.5734,0.6008,12.186,-19.591,-24.9,4.779,12.09,-15.748
42,WOOUSDT,0.23142,0.26611,0.19696,0.20016,14.99,-14.891,-24.783,1.625,4.63,-13.508
158,CTSIUSDT,0.1535,0.1927,0.1427,0.1452,25.537,-7.036,-24.65,1.752,5.0,-5.407
120,JOEUSDT,0.3936,0.4283,0.3135,0.3233,8.816,-20.351,-24.516,3.126,8.54,-17.861
41,ALICEUSDT,1.033,1.256,0.926,0.953,21.588,-10.358,-24.124,2.916,8.18,-7.744
18,LDOUSDT,2.0529,2.5288,1.8582,1.9242,23.182,-9.484,-23.909,3.552,9.84,-6.269
111,ATAUSDT,0.096,0.1041,0.0767,0.0797,8.437,-20.104,-23.439,3.911,10.95,-16.979
30,RSRUSDT,0.002422,0.002566,0.001885,0.001972,5.945,-22.172,-23.149,4.615,12.78,-18.58
114,LTCUSDT,108.65,115.05,86.84,88.63,5.89,-20.074,-22.964,2.061,6.35,-18.426
43,ETCUSDT,20.921,23.32,17.585,18.005,11.467,-15.946,-22.792,2.388,7.32,-13.938
74,BLURUSDT,0.345,0.3974,0.2828,0.3069,15.188,-18.029,-22.773,8.522,21.03,-11.043
112,C98USDT,0.1532,0.175,0.129,0.1352,14.23,-15.796,-22.743,4.806,13.48,-11.749
164,RVNUSDT,0.02002,0.0239,0.0182,0.01856,19.381,-9.091,-22.343,1.978,6.32,-7.293
76,WAVESUSDT,1.9748,2.4431,1.8153,1.8975,23.714,-8.077,-22.332,4.528,13.09,-3.914
98,RNDRUSDT,2.0369,2.2415,1.6958,1.7414,10.045,-16.746,-22.311,2.689,8.36,-14.507
101,BCHUSDT,304.01,309.78,231.32,240.84,1.898,-23.91,-22.255,4.116,12.13,-20.779
143,COMPUSDT,55.83,83.08,50.79,64.66,48.809,-9.027,-22.171,27.309,42.95,15.816
182,TRUUSDT,0.04283,0.04405,0.03233,0.03435,2.848,-24.516,-22.02,6.248,17.24,-19.799
33,IDEXUSDT,0.05899,0.06284,0.0465,0.04903,6.527,-21.173,-21.976,5.441,15.48,-16.884
90,STXUSDT,0.691,0.755,0.552,0.5893,9.262,-20.116,-21.947,6.757,18.37,-14.718
37,XEMUSDT,0.029,0.0365,0.0265,0.0285,25.862,-8.621,-21.918,7.547,20.0,-1.724
52,LEVERUSDT,0.001303,0.001449,0.001089,0.001132,11.205,-16.424,-21.877,3.949,11.94,-13.124
10,AGIXUSDT,0.2377,0.2822,0.2174,0.2207,18.721,-8.54,-21.793,1.518,5.09,-7.152
138,KEYUSDT,0.006059,0.00647,0.005015,0.005075,6.783,-17.231,-21.561,1.196,4.12,-16.24
