,symbol,D_OPEN,D_HIGH,D_LOW,D_MAX,D_MIN,price,PCT,D_CHANGE,D_C_MIN,D_C_MAX
0,SANDUSDT,0.417,0.4271,0.4126,2.422,-1.055,0.4186,41.38,0.384,1.454,-1.99
1,DGBUSDT,0.00786,0.00799,0.0078,1.654,-0.763,0.00789,47.37,0.382,1.154,-1.252
2,EGLDUSDT,35.12,35.78,35.01,1.879,-0.313,35.4,50.65,0.797,1.114,-1.062
3,BTCUSDT,30396.9,30660.0,30325.0,0.866,-0.237,30390.3,19.49,-0.022,0.215,-0.88
4,GALAUSDT,0.02429,0.02544,0.02421,4.734,-0.329,0.02478,46.34,2.017,2.354,-2.594
5,TUSDT,0.02222,0.02286,0.02194,2.88,-1.26,0.02245,55.43,1.035,2.325,-1.794
6,AXSUSDT,5.78,5.919,5.743,2.405,-0.64,5.836,52.84,0.969,1.619,-1.402
7,CTKUSDT,0.5694,0.5774,0.5641,1.405,-0.931,0.5704,47.37,0.176,1.117,-1.212
8,SPELLUSDT,0.0004665,0.0004739,0.0004629,1.586,-0.772,0.0004688,53.64,0.493,1.275,-1.076
9,EOSUSDT,0.726,0.742,0.72,2.204,-0.826,0.722,9.09,-0.551,0.278,-2.695
10,AGIXUSDT,0.2275,0.231,0.2244,1.538,-1.363,0.2282,57.58,0.308,1.693,-1.212
11,DYDXUSDT,1.854,1.899,1.842,2.427,-0.647,1.869,47.37,0.809,1.466,-1.58
12,LUNA2USDT,0.5889,0.603,0.5821,2.394,-1.155,0.5937,55.5,0.815,1.993,-1.542
13,RENUSDT,0.06025,0.06078,0.05935,0.88,-1.494,0.05978,30.07,-0.78,0.725,-1.645
14,APEUSDT,1.931,1.933,1.9,0.104,-1.605,1.919,57.58,-0.621,1.0,-0.724
15,CHRUSDT,0.1126,0.114,0.111,1.243,-1.421,0.1131,70.0,0.444,1.892,-0.789
16,FLMUSDT,0.0662,0.0705,0.0652,6.495,-1.511,0.0695,81.13,4.985,6.595,-1.418
17,BTCDOMUSDT,1861.8,1869.8,1860.3,0.43,-0.081,1866.9,69.47,0.274,0.355,-0.155
18,LDOUSDT,1.9573,1.9659,1.9173,0.439,-2.044,1.926,17.9,-1.599,0.454,-2.03
19,ZILUSDT,0.02026,0.02063,0.02001,1.826,-1.234,0.02059,93.55,1.629,2.899,-0.194
20,OMGUSDT,0.6184,0.6258,0.612,1.197,-1.035,0.6188,49.28,0.065,1.111,-1.119
21,SOLUSDT,21.286,22.28,21.187,4.67,-0.465,22.028,76.94,3.486,3.969,-1.131
22,LINAUSDT,0.01349,0.01438,0.01334,6.597,-1.112,0.01398,61.54,3.632,4.798,-2.782
23,SFPUSDT,0.4438,0.456,0.4374,2.749,-1.442,0.4428,29.03,-0.225,1.235,-2.895
24,PEOPLEUSDT,0.01286,0.01304,0.01276,1.4,-0.778,0.01295,67.86,0.7,1.489,-0.69
25,VETUSDT,0.01866,0.01882,0.01846,0.857,-1.072,0.01854,22.22,-0.643,0.433,-1.488
26,BAKEUSDT,0.1019,0.1029,0.1004,0.981,-1.472,0.1013,36.0,-0.589,0.896,-1.555
27,MINAUSDT,0.4806,0.521,0.4623,8.406,-3.808,0.4682,10.05,-2.58,1.276,-10.134
28,STORJUSDT,0.3416,0.35,0.3301,2.459,-3.367,0.3334,16.58,-2.4,1.0,-4.743
29,HIGHUSDT,1.128,1.14,1.109,1.064,-1.684,1.125,51.61,-0.266,1.443,-1.316
30,RSRUSDT,0.002063,0.002085,0.002033,1.066,-1.454,0.002048,28.85,-0.727,0.738,-1.775
31,YFIUSDT,7029.0,7076.0,6927.0,0.669,-1.451,6971.0,29.53,-0.825,0.635,-1.484
32,MAGICUSDT,0.7941,0.8098,0.7865,1.977,-0.957,0.7956,39.06,0.189,1.157,-1.754
33,IDEXUSDT,0.05584,0.05627,0.05543,0.77,-0.734,0.05582,46.43,-0.036,0.704,-0.8
34,LQTYUSDT,0.8991,0.908,0.8889,0.99,-1.134,0.8944,28.8,-0.523,0.619,-1.498
35,DOTUSDT,5.127,5.176,5.084,0.956,-0.839,5.119,38.04,-0.156,0.688,-1.101
36,ASTRUSDT,0.04231,0.04288,0.04181,1.347,-1.182,0.0425,64.49,0.449,1.65,-0.886
37,XEMUSDT,0.0275,0.0283,0.0273,2.909,-0.727,0.0283,100.0,2.909,3.663,0.0
38,UMAUSDT,1.566,1.589,1.556,1.469,-0.639,1.559,9.09,-0.447,0.193,-1.888
39,IOTAUSDT,0.1783,0.1801,0.1772,1.01,-0.617,0.1784,41.38,0.056,0.677,-0.944
40,LINKUSDT,6.164,6.237,6.116,1.184,-0.779,6.166,41.32,0.032,0.818,-1.138
41,ALICEUSDT,1.014,1.037,1.004,2.268,-0.986,1.028,72.73,1.381,2.39,-0.868
42,WOOUSDT,0.22355,0.2253,0.22071,0.783,-1.27,0.22264,42.05,-0.407,0.874,-1.181
43,ETCUSDT,18.943,19.052,18.729,0.575,-1.13,18.789,18.58,-0.813,0.32,-1.38
44,DUSKUSDT,0.11684,0.12292,0.11581,5.204,-0.882,0.12009,60.2,2.782,3.696,-2.302
45,SKLUSDT,0.02762,0.02818,0.02738,2.028,-0.869,0.02766,35.0,0.145,1.023,-1.845
46,ENJUSDT,0.2902,0.2956,0.2877,1.861,-0.861,0.2916,49.37,0.482,1.356,-1.353
47,HOOKUSDT,1.105,1.119,1.085,1.267,-1.81,1.093,23.53,-1.086,0.737,-2.324
48,NKNUSDT,0.09875,0.09941,0.09737,0.668,-1.397,0.09789,25.49,-0.871,0.534,-1.529
49,XVGUSDT,0.007629,0.008478,0.007512,11.129,-1.534,0.007676,16.98,0.616,2.183,-9.46
50,COCOSUSDT,1.454,1.454,1.454,0.0,0.0,1.454,,0.0,0.0,0.0
51,HOTUSDT,0.001313,0.001327,0.001301,1.066,-0.914,0.001302,3.85,-0.838,0.077,-1.884
52,LEVERUSDT,0.001322,0.001347,0.00131,1.891,-0.908,0.001321,29.73,-0.076,0.84,-1.93
53,MDTUSDT,0.05217,0.05228,0.04974,0.211,-4.658,0.05068,37.01,-2.856,1.89,-3.06
54,ZECUSDT,28.87,29.21,28.49,1.178,-1.316,28.92,59.72,0.173,1.509,-0.993
55,KAVAUSDT,0.9757,1.0239,0.9753,4.94,-0.041,1.0,50.82,2.491,2.533,-2.334
56,PHBUSDT,0.6686,0.6823,0.6586,2.049,-1.496,0.6677,38.4,-0.135,1.382,-2.14
57,OCEANUSDT,0.3646,0.3682,0.3561,0.987,-2.331,0.3611,41.32,-0.96,1.404,-1.928
58,TOMOUSDT,1.1592,1.1892,1.1412,2.588,-1.553,1.1749,70.21,1.354,2.953,-1.202
59,ICXUSDT,0.215,0.2186,0.2134,1.674,-0.744,0.2163,55.77,0.605,1.359,-1.052
60,FETUSDT,0.215,0.2189,0.2127,1.814,-1.07,0.2158,50.0,0.372,1.457,-1.416
61,MATICUSDT,0.7347,0.7498,0.7318,2.055,-0.395,0.7378,33.33,0.422,0.82,-1.6
62,BALUSDT,4.605,4.629,4.545,0.521,-1.303,4.572,32.14,-0.717,0.594,-1.231
63,IOSTUSDT,0.008307,0.008543,0.008235,2.841,-0.867,0.008431,63.64,1.493,2.38,-1.311
64,THETAUSDT,0.7333,0.7369,0.7233,0.491,-1.364,0.7319,63.24,-0.191,1.189,-0.679
65,XRPUSDT,0.4775,0.4781,0.4718,0.126,-1.194,0.4734,25.4,-0.859,0.339,-0.983
66,RADUSDT,1.56,1.586,1.542,1.667,-1.154,1.553,25.0,-0.449,0.713,-2.081
67,CELOUSDT,0.497,0.501,0.489,0.805,-1.61,0.493,33.33,-0.805,0.818,-1.597
68,API3USDT,1.03,1.039,1.012,0.874,-1.748,1.019,25.93,-1.068,0.692,-1.925
69,DOGEUSDT,0.0652,0.06545,0.06448,0.383,-1.104,0.06486,39.18,-0.521,0.589,-0.901
70,AVAXUSDT,13.377,13.683,13.321,2.288,-0.419,13.345,6.63,-0.239,0.18,-2.47
71,HFTUSDT,0.3502,0.3542,0.3446,1.142,-1.599,0.3451,5.21,-1.456,0.145,-2.569
72,ZRXUSDT,0.2035,0.2058,0.2007,1.13,-1.376,0.2046,76.47,0.541,1.943,-0.583
73,CFXUSDT,0.1799,0.1844,0.1775,2.501,-1.334,0.1803,40.58,0.222,1.577,-2.223
74,BLURUSDT,0.3223,0.3236,0.3168,0.403,-1.706,0.3197,42.65,-0.807,0.915,-1.205
75,ARBUSDT,1.119,1.1338,1.1136,1.323,-0.483,1.1227,45.05,0.331,0.817,-0.979
76,WAVESUSDT,2.1683,2.1867,2.1075,0.849,-2.804,2.1298,28.16,-1.776,1.058,-2.602
77,UNFIUSDT,3.333,3.389,3.284,1.68,-1.47,3.351,63.81,0.54,2.04,-1.121
78,LRCUSDT,0.2269,0.229,0.2246,0.926,-1.014,0.2259,29.55,-0.441,0.579,-1.354
79,TRBUSDT,10.38,10.43,10.23,0.482,-1.445,10.26,15.0,-1.156,0.293,-1.63
80,SSVUSDT,18.06,18.27,17.91,1.163,-0.831,18.0,25.0,-0.332,0.503,-1.478
81,IOTXUSDT,0.01943,0.0195,0.019,0.36,-2.213,0.01908,16.0,-1.801,0.421,-2.154
82,MASKUSDT,3.376,3.406,3.347,0.889,-0.859,3.365,30.51,-0.326,0.538,-1.204
83,ARPAUSDT,0.04937,0.05003,0.049,1.337,-0.749,0.04929,28.16,-0.162,0.592,-1.479
84,ANTUSDT,4.033,4.106,3.984,1.81,-1.215,4.076,75.41,1.066,2.309,-0.731
85,HBARUSDT,0.04746,0.04837,0.04689,1.917,-1.201,0.04829,94.59,1.749,2.986,-0.165
86,SNXUSDT,2.042,2.06,2.02,0.881,-1.077,2.038,45.0,-0.196,0.891,-1.068
87,USDCUSDT,0.99935,0.99957,0.99928,0.022,-0.007,0.99951,79.31,0.016,0.023,-0.006
88,ENSUSDT,9.246,9.374,9.131,1.384,-1.244,9.25,48.97,0.043,1.303,-1.323
89,SUSHIUSDT,0.6326,0.6387,0.6263,0.964,-0.996,0.6313,40.32,-0.206,0.798,-1.159
90,STXUSDT,0.6389,0.6571,0.6307,2.849,-1.283,0.6422,43.56,0.517,1.823,-2.268
91,1INCHUSDT,0.3049,0.3103,0.3014,1.771,-1.148,0.3065,57.3,0.525,1.692,-1.225
92,ATOMUSDT,9.235,9.359,9.144,1.343,-0.985,9.294,69.77,0.639,1.64,-0.695
93,GRTUSDT,0.11411,0.11609,0.11335,1.735,-0.666,0.11405,25.55,-0.053,0.618,-1.757
94,AMBUSDT,0.00667,0.00679,0.00663,1.799,-0.6,0.00672,56.25,0.75,1.357,-1.031
95,ALGOUSDT,0.1099,0.1114,0.1088,1.365,-1.001,0.1097,34.62,-0.182,0.827,-1.526
96,IMXUSDT,0.6981,0.7056,0.6925,1.074,-0.802,0.6978,40.46,-0.043,0.765,-1.105
97,BANDUSDT,1.2179,1.2288,1.202,0.895,-1.306,1.205,11.19,-1.059,0.25,-1.937
98,RNDRUSDT,1.908,2.009,1.89,5.294,-0.943,1.9645,62.61,2.961,3.942,-2.215
99,FLOWUSDT,0.603,0.617,0.595,2.322,-1.327,0.595,0.0,-1.327,0.0,-3.566
100,FOOTBALLUSDT,396.67,400.92,395.02,1.071,-0.416,397.54,42.71,0.219,0.638,-0.843
101,BCHUSDT,274.57,277.48,271.58,1.06,-1.089,273.2,27.46,-0.499,0.597,-1.542
102,NEOUSDT,8.958,9.033,8.827,0.837,-1.462,8.985,76.7,0.301,1.79,-0.531
103,REEFUSDT,0.001683,0.001692,0.001656,0.535,-1.604,0.001666,27.78,-1.01,0.604,-1.537
104,ARUSDT,5.95,5.974,5.843,0.403,-1.798,5.881,29.01,-1.16,0.65,-1.557
105,DARUSDT,0.0992,0.1005,0.0979,1.31,-1.31,0.0998,73.08,0.605,1.941,-0.697
106,BELUSDT,0.6937,0.7052,0.6858,1.658,-1.139,0.7002,74.23,0.937,2.1,-0.709
107,DASHUSDT,33.55,33.8,33.1,0.745,-1.341,33.41,44.29,-0.417,0.937,-1.154
108,MKRUSDT,915.6,936.8,910.3,2.315,-0.579,927.6,65.28,1.311,1.9,-0.982
109,BLUEBIRDUSDT,6.661,6.712,6.606,0.766,-0.826,6.639,31.13,-0.33,0.5,-1.088
110,DENTUSDT,0.000773,0.000782,0.000764,1.164,-1.164,0.000767,16.67,-0.776,0.393,-1.918
111,ATAUSDT,0.0906,0.0921,0.0895,1.656,-1.214,0.0905,38.46,-0.11,1.117,-1.737
112,C98USDT,0.1505,0.1519,0.1478,0.93,-1.794,0.1487,21.95,-1.196,0.609,-2.107
113,GMTUSDT,0.214,0.2175,0.2113,1.636,-1.262,0.2141,45.16,0.047,1.325,-1.563
114,LTCUSDT,96.67,98.31,96.03,1.696,-0.662,97.4,60.09,0.755,1.427,-0.926
115,INJUSDT,8.12,8.4,7.973,3.448,-1.81,8.188,50.35,0.837,2.697,-2.524
116,RDNTUSDT,0.2867,0.2898,0.2818,1.081,-1.709,0.2833,18.75,-1.186,0.532,-2.243
117,OPUSDT,1.1988,1.2244,1.1904,2.135,-0.701,1.2069,48.53,0.676,1.386,-1.429
118,ZENUSDT,8.138,8.189,7.991,0.627,-1.806,8.07,39.9,-0.836,0.989,-1.453
119,GMXUSDT,55.4,55.87,55.06,0.848,-0.614,55.21,18.52,-0.343,0.272,-1.181
120,JOEUSDT,0.3575,0.3744,0.3568,4.727,-0.196,0.3674,60.23,2.769,2.971,-1.87
121,QNTUSDT,101.89,103.1,101.46,1.188,-0.422,101.78,19.51,-0.108,0.315,-1.28
122,COMBOUSDT,0.7276,0.7345,0.7024,0.948,-3.463,0.7086,19.31,-2.611,0.883,-3.526
