,symbol,D_OPEN,D_HIGH,D_LOW,price,D_MAX,D_MIN,D_C_MAX,D_C_MIN,PCT,D_CHANGE
3,ASTRUSDT,0.0522,0.05575,0.05186,0.05511,6.801,-0.651,-1.148,6.267,83.55,5.575
123,OPUSDT,1.5079,1.61,1.4976,1.5844,6.771,-0.683,-1.59,5.796,77.22,5.073
150,XLMUSDT,0.15823,0.16198,0.1546,0.1599,2.37,-2.294,-1.284,3.428,71.82,1.055
81,TOMOUSDT,1.4933,1.5025,1.4442,1.4905,0.616,-3.288,-0.799,3.206,79.42,-0.188
156,UNFIUSDT,3.279,3.407,3.257,3.361,3.904,-0.671,-1.35,3.193,69.33,2.501
34,SUSHIUSDT,0.684,0.7063,0.6785,0.6981,3.26,-0.804,-1.161,2.889,70.5,2.061
71,ARKMUSDT,0.5192,0.5222,0.5009,0.5131,0.578,-3.525,-1.743,2.436,57.28,-1.175
185,IDEXUSDT,0.05147,0.05221,0.04955,0.05074,1.438,-3.73,-2.816,2.402,44.74,-1.418
35,MKRUSDT,1281.8,1290.0,1249.8,1277.3,0.64,-2.496,-0.984,2.2,68.41,-0.351
86,UNIUSDT,6.321,6.455,6.289,6.41,2.12,-0.506,-0.697,1.924,72.89,1.408
160,XRPUSDT,0.712,0.7359,0.7083,0.7214,3.357,-0.52,-1.97,1.849,47.46,1.32
131,RADUSDT,1.591,1.608,1.575,1.602,1.069,-1.006,-0.373,1.714,81.82,0.691
31,ZENUSDT,9.276,9.474,9.134,9.286,2.135,-1.531,-1.984,1.664,44.71,0.108
148,PERPUSDT,0.4785,0.4883,0.4756,0.4832,2.048,-0.606,-1.044,1.598,59.84,0.982
24,GALAUSDT,0.02348,0.02359,0.02318,0.02355,0.468,-1.278,-0.17,1.596,90.24,0.298
147,AGLDUSDT,0.7509,0.7537,0.69,0.7006,0.373,-8.11,-7.045,1.536,16.64,-6.699
124,OGNUSDT,0.1094,0.1126,0.1043,0.1059,2.925,-4.662,-5.95,1.534,19.28,-3.199
176,WLDUSDT,2.3451,2.4948,2.3352,2.3703,6.384,-0.422,-4.99,1.503,21.99,1.075
53,IDUSDT,0.2492,0.2542,0.2483,0.2518,2.006,-0.361,-0.944,1.41,59.32,1.043
2,BATUSDT,0.2018,0.2042,0.2014,0.2042,1.189,-0.198,0.0,1.39,100.0,1.189
73,HIGHUSDT,1.15,1.158,1.125,1.14,0.696,-2.174,-1.554,1.333,45.45,-0.87
179,ANTUSDT,4.348,4.415,4.324,4.38,1.541,-0.552,-0.793,1.295,61.54,0.736
100,RDNTUSDT,0.3041,0.3066,0.3027,0.3064,0.822,-0.46,-0.065,1.222,94.87,0.756
90,NEARUSDT,1.404,1.417,1.393,1.41,0.926,-0.783,-0.494,1.22,70.83,0.427
143,IMXUSDT,0.7507,0.7821,0.7506,0.7596,4.183,-0.013,-2.877,1.199,28.57,1.186
170,STMXUSDT,0.00764,0.00819,0.00707,0.00715,7.199,-7.461,-12.698,1.132,7.14,-6.414
6,LTCUSDT,94.27,95.98,93.6,94.64,1.814,-0.711,-1.396,1.111,43.7,0.392
109,ADAUSDT,0.3129,0.3181,0.3118,0.3152,1.662,-0.352,-0.912,1.09,53.97,0.735
140,QNTUSDT,111.76,114.2,111.73,112.94,2.183,-0.027,-1.103,1.083,48.99,1.056
58,SKLUSDT,0.02745,0.02778,0.0271,0.02739,1.202,-1.275,-1.404,1.07,42.65,-0.219
149,UMAUSDT,1.624,1.658,1.612,1.628,2.094,-0.739,-1.809,0.993,34.78,0.246
61,KEYUSDT,0.005575,0.00564,0.005542,0.005594,1.166,-0.592,-0.816,0.938,53.06,0.341
20,JASMYUSDT,0.003965,0.004035,0.003873,0.003909,1.765,-2.32,-3.123,0.93,22.22,-1.412
128,COMPUSDT,72.18,73.39,71.61,72.27,1.676,-0.79,-1.526,0.922,37.08,0.125
87,RLCUSDT,1.1954,1.2074,1.1908,1.2016,1.004,-0.385,-0.48,0.907,65.06,0.519
187,GTCUSDT,1.014,1.016,0.997,1.006,0.197,-1.677,-0.984,0.903,47.37,-0.789
57,OMGUSDT,0.6011,0.608,0.5987,0.604,1.148,-0.399,-0.658,0.885,56.99,0.482
136,YFIUSDT,7008.0,7020.0,6954.0,7015.0,0.171,-0.771,-0.071,0.877,92.42,0.1
32,DGBUSDT,0.00818,0.00822,0.00813,0.0082,0.489,-0.611,-0.243,0.861,77.78,0.244
168,INJUSDT,8.007,8.03,7.905,7.973,0.287,-1.274,-0.71,0.86,54.4,-0.425
115,MDTUSDT,0.04809,0.04828,0.04773,0.04814,0.395,-0.749,-0.29,0.859,74.55,0.104
44,BCHUSDT,241.78,245.25,240.93,242.94,1.435,-0.352,-0.942,0.834,46.53,0.48
158,CELOUSDT,0.503,0.507,0.492,0.496,0.795,-2.187,-2.17,0.813,26.67,-1.392
121,AAVEUSDT,74.35,74.97,73.66,74.25,0.834,-0.928,-0.96,0.801,45.04,-0.134
59,ENSUSDT,9.514,9.58,9.411,9.486,0.694,-1.083,-0.981,0.797,44.38,-0.294
11,LQTYUSDT,1.1201,1.1454,1.1116,1.1202,2.259,-0.759,-2.2,0.774,25.44,0.009
144,CELRUSDT,0.01446,0.01447,0.01428,0.01439,0.069,-1.245,-0.553,0.77,57.89,-0.484
37,MAVUSDT,0.3068,0.3116,0.2995,0.3018,1.565,-2.379,-3.145,0.768,19.01,-1.63
138,FXSUSDT,6.589,6.593,6.39,6.438,0.061,-3.02,-2.351,0.751,23.65,-2.292
4,PENDLEUSDT,0.7409,0.7533,0.7257,0.7311,1.674,-2.052,-2.947,0.744,19.57,-1.323
56,AMBUSDT,0.00689,0.00693,0.00676,0.00681,0.581,-1.887,-1.732,0.74,29.41,-1.161
39,TUSDT,0.02544,0.02547,0.02446,0.02464,0.118,-3.852,-3.259,0.736,17.82,-3.145
41,SUIUSDT,0.6383,0.6396,0.6286,0.6332,0.204,-1.52,-1.001,0.732,41.82,-0.799
77,COMBOUSDT,0.6508,0.6541,0.6341,0.6387,0.507,-2.566,-2.354,0.725,23.0,-1.859
22,ENJUSDT,0.3063,0.3091,0.3042,0.3064,0.914,-0.686,-0.874,0.723,44.9,0.033
36,CFXUSDT,0.181,0.1843,0.1797,0.181,1.823,-0.718,-1.791,0.723,28.26,0.0
133,IOSTUSDT,0.009318,0.00937,0.009075,0.009139,0.558,-2.608,-2.465,0.705,21.69,-1.921
99,SOLUSDT,25.159,25.2,24.811,24.981,0.163,-1.383,-0.869,0.685,43.7,-0.708
171,MAGICUSDT,0.7546,0.7651,0.7501,0.7552,1.391,-0.596,-1.294,0.68,34.0,0.08
80,LEVERUSDT,0.001204,0.001213,0.001184,0.001192,0.748,-1.661,-1.731,0.676,27.59,-0.997
166,ZECUSDT,30.37,30.44,29.93,30.13,0.23,-1.449,-1.018,0.668,39.22,-0.79
72,SPELLUSDT,0.0004713,0.0004778,0.0004659,0.000469,1.379,-1.146,-1.842,0.665,26.05,-0.488
98,EDUUSDT,0.601,0.6068,0.5951,0.599,0.965,-0.982,-1.285,0.655,33.33,-0.333
16,BALUSDT,4.468,4.506,4.429,4.458,0.85,-0.873,-1.065,0.655,37.66,-0.224
1,BAKEUSDT,0.0948,0.095,0.0918,0.0924,0.211,-3.165,-2.737,0.654,18.75,-2.532
139,MATICUSDT,0.7181,0.7191,0.7068,0.7114,0.139,-1.574,-1.071,0.651,37.4,-0.933
165,CHRUSDT,0.1113,0.1116,0.108,0.1087,0.27,-2.965,-2.599,0.648,19.44,-2.336
152,RUNEUSDT,0.938,0.942,0.931,0.937,0.426,-0.746,-0.531,0.644,54.55,-0.107
49,HOTUSDT,0.001295,0.001305,0.001284,0.001292,0.772,-0.849,-0.996,0.623,38.1,-0.232
122,BLURUSDT,0.3085,0.3165,0.3055,0.3074,2.593,-0.972,-2.875,0.622,17.27,-0.357
78,ONTUSDT,0.1962,0.1978,0.1937,0.1949,0.815,-1.274,-1.466,0.62,29.27,-0.663
82,API3USDT,0.985,0.993,0.972,0.978,0.812,-1.32,-1.511,0.617,28.57,-0.711
172,KLAYUSDT,0.1629,0.1644,0.1623,0.1633,0.921,-0.368,-0.669,0.616,47.62,0.246
184,ATAUSDT,0.0837,0.0848,0.0815,0.082,1.314,-2.628,-3.302,0.613,15.15,-2.031
112,CKBUSDT,0.002817,0.002827,0.00279,0.002807,0.355,-0.958,-0.707,0.609,45.95,-0.355
64,NMRUSDT,13.51,13.65,13.25,13.33,1.036,-1.925,-2.344,0.604,20.0,-1.332
91,HBARUSDT,0.05385,0.05426,0.05328,0.0536,0.761,-1.058,-1.216,0.601,32.65,-0.464
155,SSVUSDT,18.69,18.99,18.37,18.48,1.605,-1.712,-2.686,0.599,17.74,-1.124
183,TRUUSDT,0.03569,0.03591,0.03514,0.03535,0.616,-1.541,-1.559,0.598,27.27,-0.953
79,XTZUSDT,0.841,0.846,0.836,0.841,0.595,-0.595,-0.591,0.598,50.0,0.0
153,XVGUSDT,0.00467,0.004678,0.004553,0.00458,0.171,-2.505,-2.095,0.593,21.6,-1.927
167,CHZUSDT,0.07949,0.07982,0.07852,0.07898,0.415,-1.22,-1.052,0.586,35.38,-0.642
159,CTKUSDT,0.5902,0.595,0.5864,0.5898,0.813,-0.644,-0.874,0.58,39.53,-0.068
54,DYDXUSDT,2.079,2.1,2.069,2.081,1.01,-0.481,-0.905,0.58,38.71,0.096
188,1INCHUSDT,0.3157,0.3231,0.3138,0.3156,2.344,-0.602,-2.321,0.574,19.35,-0.032
118,TRBUSDT,12.56,12.66,12.31,12.38,0.796,-1.99,-2.212,0.569,20.0,-1.433
19,DASHUSDT,32.54,32.78,31.93,32.11,0.738,-1.875,-2.044,0.564,21.18,-1.321
9,KNCUSDT,0.7925,0.7934,0.7638,0.7681,0.114,-3.621,-3.189,0.563,14.53,-3.079
163,HFTUSDT,0.3433,0.3468,0.3396,0.3415,1.02,-1.078,-1.528,0.559,26.39,-0.524
13,GALUSDT,1.3031,1.3048,1.2756,1.2827,0.13,-2.11,-1.694,0.557,24.32,-1.565
162,RSRUSDT,0.002019,0.002024,0.001985,0.001996,0.248,-1.684,-1.383,0.554,28.21,-1.139
130,CRVUSDT,0.737,0.74,0.728,0.732,0.407,-1.221,-1.081,0.549,33.33,-0.678
178,COTIUSDT,0.04409,0.04461,0.04374,0.04398,1.179,-0.794,-1.412,0.549,27.59,-0.249
177,QTUMUSDT,2.625,2.628,2.587,2.601,0.114,-1.448,-1.027,0.541,34.15,-0.914
120,ALPHAUSDT,0.10458,0.10494,0.10255,0.1031,0.344,-1.941,-1.753,0.536,23.01,-1.415
114,EOSUSDT,0.756,0.758,0.75,0.754,0.265,-0.794,-0.528,0.533,50.0,-0.265
75,ALICEUSDT,0.961,0.964,0.94,0.945,0.312,-2.185,-1.971,0.532,20.83,-1.665
63,AVAXUSDT,13.228,13.341,13.192,13.262,0.854,-0.272,-0.592,0.531,46.98,0.257
108,GRTUSDT,0.11241,0.11277,0.11112,0.11171,0.32,-1.148,-0.94,0.531,35.76,-0.623
38,BLZUSDT,0.05467,0.05486,0.05371,0.05399,0.348,-1.756,-1.586,0.521,24.35,-1.244
104,C98USDT,0.1366,0.1373,0.1349,0.1356,0.512,-1.245,-1.238,0.519,29.17,-0.732
164,FLOWUSDT,0.592,0.607,0.583,0.586,2.534,-1.52,-3.46,0.515,12.5,-1.014
129,GMTUSDT,0.2165,0.2208,0.2151,0.2162,1.986,-0.647,-2.083,0.511,19.3,-0.139
126,KAVAUSDT,0.891,0.896,0.8806,0.885,0.561,-1.167,-1.228,0.5,28.57,-0.673
46,ACHUSDT,0.01837,0.01844,0.01816,0.01825,0.381,-1.143,-1.03,0.496,32.14,-0.653
95,WOOUSDT,0.20479,0.20513,0.20138,0.20237,0.166,-1.665,-1.345,0.492,26.4,-1.182
173,IOTXUSDT,0.01913,0.01926,0.01889,0.01898,0.68,-1.255,-1.454,0.476,24.32,-0.784
40,SNXUSDT,2.844,2.85,2.787,2.8,0.211,-2.004,-1.754,0.466,20.63,-1.547
29,LUNA2USDT,0.6096,0.6161,0.6028,0.6056,1.066,-1.115,-1.704,0.464,21.05,-0.656
103,FLMUSDT,0.0662,0.0663,0.0649,0.0652,0.151,-1.964,-1.659,0.462,21.43,-1.511
48,THETAUSDT,0.8142,0.8259,0.8027,0.8064,1.437,-1.412,-2.361,0.461,15.95,-0.958
33,TLMUSDT,0.01097,0.01101,0.01084,0.01089,0.365,-1.185,-1.09,0.461,29.41,-0.729
113,APEUSDT,1.971,1.987,1.962,1.971,0.812,-0.457,-0.805,0.459,36.0,0.0
132,AGIXUSDT,0.2237,0.224,0.2203,0.2213,0.134,-1.52,-1.205,0.454,27.03,-1.073
180,IOTAUSDT,0.1792,0.1804,0.1763,0.1771,0.67,-1.618,-1.829,0.454,19.51,-1.172
26,APTUSDT,7.134,7.187,7.064,7.096,0.743,-0.981,-1.266,0.453,26.02,-0.533
145,MASKUSDT,3.584,3.587,3.539,3.555,0.084,-1.256,-0.892,0.452,33.33,-0.809
66,REEFUSDT,0.001578,0.001579,0.001555,0.001562,0.063,-1.458,-1.077,0.45,29.17,-1.014
154,SFPUSDT,0.4338,0.4338,0.4285,0.4304,0.0,-1.222,-0.784,0.443,35.85,-0.784
74,OCEANUSDT,0.3575,0.3579,0.3523,0.3538,0.112,-1.455,-1.146,0.426,26.79,-1.035
106,STORJUSDT,0.3123,0.3202,0.3063,0.3076,2.53,-1.921,-3.935,0.424,9.35,-1.505
102,ANKRUSDT,0.02711,0.02713,0.02613,0.02624,0.074,-3.615,-3.281,0.421,11.0,-3.209
134,ICPUSDT,4.335,4.376,4.282,4.3,0.946,-1.223,-1.737,0.42,19.15,-0.807
93,CVXUSDT,3.848,3.876,3.822,3.838,0.728,-0.676,-0.98,0.419,29.63,-0.26
181,PHBUSDT,0.6072,0.6114,0.5986,0.6011,0.692,-1.416,-1.685,0.418,19.53,-1.005
182,ONEUSDT,0.01209,0.01214,0.01195,0.012,0.414,-1.158,-1.153,0.418,26.32,-0.744
8,ARPAUSDT,0.05116,0.05125,0.05039,0.0506,0.176,-1.505,-1.268,0.417,24.42,-1.095
125,XVSUSDT,4.47,4.487,4.378,4.396,0.38,-2.058,-2.028,0.411,16.51,-1.655
175,ZRXUSDT,0.2204,0.2236,0.2188,0.2197,1.452,-0.726,-1.744,0.411,18.75,-0.318
52,DENTUSDT,0.000746,0.000763,0.000739,0.000742,2.279,-0.938,-2.752,0.406,12.5,-0.536
92,RENUSDT,0.06047,0.06071,0.05964,0.05988,0.397,-1.373,-1.367,0.402,22.43,-0.976
105,DARUSDT,0.1014,0.1018,0.1004,0.1008,0.394,-0.986,-0.982,0.398,28.57,-0.592
27,JOEUSDT,0.3314,0.3336,0.3285,0.3298,0.664,-0.875,-1.139,0.396,25.49,-0.483
141,AUDIOUSDT,0.18,0.1816,0.1781,0.1788,0.889,-1.056,-1.542,0.393,20.0,-0.667
15,AXSUSDT,6.21,6.398,6.162,6.186,3.027,-0.773,-3.314,0.389,10.17,-0.386
65,KSMUSDT,23.38,23.41,23.13,23.22,0.128,-1.069,-0.812,0.389,32.14,-0.684
111,PEOPLEUSDT,0.01299,0.01309,0.01288,0.01293,0.77,-0.847,-1.222,0.388,23.81,-0.462
117,BANDUSDT,1.2036,1.2052,1.1858,1.1904,0.133,-1.479,-1.228,0.388,23.71,-1.097
21,DUSKUSDT,0.12809,0.1293,0.12668,0.12717,0.945,-1.101,-1.647,0.387,18.7,-0.718
47,RVNUSDT,0.01855,0.01862,0.01826,0.01833,0.377,-1.563,-1.557,0.383,19.44,-1.186
88,MINAUSDT,0.4488,0.4527,0.4443,0.446,0.869,-1.003,-1.48,0.383,20.24,-0.624
142,LINKUSDT,7.839,7.861,7.73,7.759,0.281,-1.39,-1.298,0.375,22.14,-1.021
110,NKNUSDT,0.09716,0.0973,0.0959,0.09626,0.144,-1.297,-1.069,0.375,25.71,-0.926
0,WAVESUSDT,1.9696,1.9723,1.9382,1.9454,0.137,-1.594,-1.364,0.371,21.11,-1.229
135,EGLDUSDT,32.68,32.78,32.47,32.59,0.306,-0.643,-0.58,0.37,38.71,-0.275
174,STXUSDT,0.6007,0.6084,0.5966,0.5988,1.282,-0.683,-1.578,0.369,18.64,-0.316
7,FTMUSDT,0.2461,0.247,0.2441,0.245,0.366,-0.813,-0.81,0.369,31.03,-0.447
